AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,FFgqt,2.68
AApqr,BBnqx,CCcy,DDbkv,EEhpx,FFlmr,3.97
AApqr,BBnqx,CCkqy,DDcwz,EEmz,FFbpv,3.63
AApqr,BBnqx,CCbt,DDhpt,EEhpx,FFcmp,5.29
AApqr,BBnqx,CCcy,DDbmz,EEmz,FFgqt,3.67
AApqr,BBnqx,CCkqy,DDbsz,EEhpx,FFlmr,7.26
AApqr,BBnqx,CCbt,DDmpy,EEmz,FFbpv,6.98
AApqr,BBnqx,CCcy,DDhlt,EEhpx,FFcmp,3.83
AApqr,BBnqx,CCkqy,DDmx,EEmz,FFgqt,5.04
AAfnw,BBkrs,CCbt,DDmx,EEmz,FFgqt,5.0
AAfnw,BBkrs,CCcy,DDbkv,EEhpx,FFlmr,13.22
AAfnw,BBkrs,CCkqy,DDcwz,EEmz,FFbpv,16.72
AAfnw,BBkrs,CCbt,DDhpt,EEhpx,FFcmp,19.55
AAfnw,BBkrs,CCcy,DDbmz,EEmz,FFgqt,23.35
AAfnw,BBkrs,CCkqy,DDbsz,EEhpx,FFlmr,23.74
AAfnw,BBkrs,CCbt,DDmpy,EEmz,FFbpv,25.46
AAfnw,BBkrs,CCcy,DDhlt,EEhpx,FFcmp,26.5
AAfnw,BBkrs,CCkqy,DDmx,EEmz,FFgqt,28.12
AAcqx,BBcjx,CCbt,DDmx,EEmz,FFgqt,31.77
AAcqx,BBcjx,CCcy,DDbkv,EEhpx,FFlmr,32.85
AAcqx,BBcjx,CCkqy,DDcwz,EEmz,FFbpv,35.7
AAcqx,BBcjx,CCbt,DDhpt,EEhpx,FFcmp,35.61
AAcqx,BBcjx,CCcy,DDbmz,EEmz,FFgqt,35.47
AAcqx,BBcjx,CCkqy,DDbsz,EEhpx,FFlmr,39.65
AAcqx,BBcjx,CCbt,DDmpy,EEmz,FFbpv,41.11
AAcqx,BBcjx,CCcy,DDhlt,EEhpx,FFcmp,42.51
AAcqx,BBcjx,CCkqy,DDmx,EEmz,FFgqt,41.73
AApqr,BBqz,CCbt,DDmx,EEmz,FFgqt,44.39
AApqr,BBqz,CCcy,DDbkv,EEhpx,FFlmr,41.63
AApqr,BBqz,CCkqy,DDcwz,EEmz,FFbpv,49.26
AApqr,BBqz,CCbt,DDhpt,EEhpx,FFcmp,53.6
AApqr,BBqz,CCcy,DDbmz,EEmz,FFgqt,54.2
AApqr,BBqz,CCkqy,DDbsz,EEhpx,FFlmr,59.98
AApqr,BBqz,CCbt,DDmpy,EEmz,FFbpv,66.47
AApqr,BBqz,CCcy,DDhlt,EEhpx,FFcmp,67.47
AApqr,BBqz,CCkqy,DDmx,EEmz,FFgqt,67.54
AAfnw,BBbgp,CCbt,DDmx,EEmz,FFgqt,69.0
AAfnw,BBbgp,CCcy,DDbkv,EEhpx,FFlmr,71.16
AAfnw,BBbgp,CCkqy,DDcwz,EEmz,FFbpv,71.25
AAfnw,BBbgp,CCbt,DDhpt,EEhpx,FFcmp,73.04
AAfnw,BBbgp,CCcy,DDbmz,EEmz,FFgqt,71.18
AAfnw,BBbgp,CCkqy,DDbsz,EEhpx,FFlmr,75.45
AAfnw,BBbgp,CCbt,DDmpy,EEmz,FFbpv,77.74
AAfnw,BBbgp,CCcy,DDhlt,EEhpx,FFcmp,84.56
AAfnw,BBbgp,CCkqy,DDmx,EEmz,FFgqt,84.91
AAcqx,BBgv,CCbt,DDmx,EEmz,FFgqt,86.1
AAcqx,BBgv,CCcy,DDbkv,EEhpx,FFlmr,87.75
AAcqx,BBgv,CCkqy,DDcwz,EEmz,FFbpv,88.24
AAcqx,BBgv,CCbt,DDhpt,EEhpx,FFcmp,89.78
AAcqx,BBgv,CCcy,DDbmz,EEmz,FFgqt,90.78
AAcqx,BBgv,CCkqy,DDbsz,EEhpx,FFlmr,92.03
AAcqx,BBgv,CCbt,DDmpy,EEmz,FFbpv,94.15
AAcqx,BBgv,CCcy,DDhlt,EEhpx,FFcmp,98.01
AAcqx,BBgv,CCkqy,DDmx,EEmz,FFgqt,99.37
