Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,262.09
AAdk,BBtw,CChv,DDtv,EEmn,522.55
AAdk,BBtw,CChv,DDpw,EEfh,404.79
AAdk,BBtw,CChv,DDnt,EElp,535.07
AAdk,BBtw,CChv,DDtv,EEfx,151.06
AAdk,BBtw,CChv,DDpw,EEhr,410.59
AAdk,BBtw,CChv,DDnt,EEhl,677.54
AAdk,BBtw,CChv,DDtv,EEkz,935.83
AAdk,BBtw,CChv,DDpw,EEdn,558.36
AAdk,BBst,CChv,DDnt,EEdn,559.14
AAdk,BBst,CChv,DDtv,EEmn,174.95
AAdk,BBst,CChv,DDpw,EEfh,47.13
AAdk,BBst,CChv,DDnt,EElp,690.38
AAdk,BBst,CChv,DDtv,EEfx,182.66
AAdk,BBst,CChv,DDpw,EEhr,956.61
AAdk,BBst,CChv,DDnt,EEhl,961.66
AAdk,BBst,CChv,DDtv,EEkz,581.1
AAdk,BBst,CChv,DDpw,EEdn,73.82
AAdk,BBtw,CChv,DDnt,EEdn,329.73
AAdk,BBtw,CChv,DDtv,EEmn,73.73
AAdk,BBtw,CChv,DDpw,EEfh,718.34
AAdk,BBtw,CChv,DDnt,EElp,974.44
AAdk,BBtw,CChv,DDtv,EEfx,595.47
AAdk,BBtw,CChv,DDpw,EEhr,596.15
AAdk,BBtw,CChv,DDnt,EEhl,981.45
AAdk,BBtw,CChv,DDtv,EEkz,341.44
AAdk,BBtw,CChv,DDpw,EEdn,854.47
AAdk,BBst,CChv,DDnt,EEdn,981.02
AAdk,BBst,CChv,DDtv,EEmn,218.36
AAdk,BBst,CChv,DDpw,EEfh,218.18
AAdk,BBst,CChv,DDnt,EElp,988.56
AAdk,BBst,CChv,DDtv,EEfx,92.58
AAdk,BBst,CChv,DDpw,EEhr,871.38
AAdk,BBst,CChv,DDnt,EEhl,875.38
AAdk,BBst,CChv,DDtv,EEkz,884.85
AAdk,BBst,CChv,DDpw,EEdn,894.0
