CC,DD,EE,FF,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBnqx,AApqr_BBlt,AApqr_BBqz,AAcqx_BBgv,AAcqx_BBcjx
CCcy,DDbmz,EEmz,FFgqt,57.03,22.70,10.82,93.75,47.78,71.22,37.72
,DDbkv,EEmz,FFlmr,53.03,19.85,3.97,91.77,43.56,64.55,32.66
,DDmx,EEmz,FFlmr,60.80,28.58,14.49,99.23,50.27,86.48,40.62
CCkqy,DDcwz,EEmz,FFgqt,55.84,20.17,8.14,92.16,45.25,65.88,35.70
,DDbkv,EEmz,FFgqt,55.71,29.08,15.25,98.46,47.23,87.45,40.09
,DDbsz,EEmz,FFlmr,58.51,23.11,11.64,92.41,46.91,72.47,37.53
CCbt,DDhpt,EEmz,FFlmr,56.22,21.86,9.97,93.94,46.10,70.27,36.08
,DDmpy,EEmz,FFgqt,59.12,26.65,12.05,98.73,49.65,73.77,39.21
,DDmx,EEmz,FFgqt,52.66,15.57,1.64,87.23,39.88,60.67,29.12
Minimum,,,,52.66,15.57,1.64,87.23,39.88,60.67,29.12
