Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,481.92
AAdk,BBtw,CCst,DDnw,323.65
AAdk,BBtw,CCbx,DDrz,892.85
AAdk,BBtw,CChv,DDcl,137.55
AAdk,BBtw,CCst,DDlp,842.35
AAdk,BBtw,CCbx,DDcs,875.87
AAdk,BBrv,CChv,DDnt,458.94
AAdk,BBrv,CCst,DDnw,59.32
AAdk,BBrv,CCbx,DDrz,430.05
AAdk,BBrv,CChv,DDcl,845.37
AAdk,BBrv,CCst,DDlp,112.88
AAdk,BBrv,CCbx,DDcs,946.19
AAdk,BBtw,CChv,DDnt,411.4
AAdk,BBtw,CCst,DDnw,184.57
AAdk,BBtw,CCbx,DDrz,890.28
AAdk,BBtw,CChv,DDcl,251.85
AAdk,BBtw,CCst,DDlp,60.23
AAdk,BBtw,CCbx,DDcs,731.04
