CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AAfnw_BBbgp,AAfnw_BBkrs,AApqr_BBlt,AApqr_BBnqx,AApqr_BBqz,Minimum,EE,FF
CCkqy,,32.58,79.72,64.25,13.90,93.08,3.30,44.34,3.30,,
,  DDbsz,41.85,83.21,67.31,22.32,98.19,3.30,51.42,3.30,EEmz,FFgqt
,  DDmx,44.02,82.02,72.02,28.77,99.73,10.62,61.74,10.62,EEmz,FFgqt
,  DDcwz,32.58,79.72,64.25,13.90,93.08,4.18,44.34,4.18,EEmz,FFgqt
CCcy,,31.70,79.79,62.15,9.13,91.63,3.54,45.68,3.54,,
,  DDbmz,39.85,81.69,65.98,20.45,92.80,6.49,50.81,6.49,EEmz,FFgqt
,  DDhlt,39.50,82.68,62.15,26.55,98.88,6.21,60.04,6.21,EEmz,FFgqt
,  DDbkv,31.70,79.79,63.81,9.13,91.63,3.54,45.68,3.54,EEmz,FFgqt
CCbt,,29.55,72.71,62.81,8.54,91.33,1.91,45.62,1.91,,
,  DDmpy,42.94,84.09,68.48,25.61,99.40,8.47,51.49,8.47,EEmz,FFgqt
,  DDmx,29.55,72.71,62.81,8.54,91.33,1.91,45.62,1.91,EEmz,FFgqt
,  DDhpt,39.90,79.29,65.31,15.17,94.68,3.96,49.92,3.96,EEmz,FFgqt
Minimum,,29.55,72.71,62.15,8.54,91.33,1.91,44.34,1.91,,
,  ,29.55,72.71,62.15,8.54,91.33,1.91,44.34,1.91,,
