DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,Average
DDmx,EEksy,20.01,96.11,-29.64,-51.42,67.84,41.01,-7.53,-85.07,6.41
,EEbhk,15.19,93.66,-37.82,-58.00,63.14,36.93,-15.14,-89.38,1.07
,EEmz,2.21,77.04,-46.15,-72.49,51.97,27.03,-25.63,99.12,14.14
,EEqz,12.78,89.83,-40.71,-66.84,55.36,32.73,-19.40,-98.95,-4.40
DDcy,EEcrv,13.51,89.14,-40.50,-65.33,62.60,32.05,-18.08,-93.52,-2.52
,EEbkv,6.98,83.10,-44.42,-72.11,52.81,28.31,-24.25,-0.19,3.78
,EEmpy,18.70,94.92,-36.09,-57.43,65.66,39.29,-10.01,-90.18,3.11
,EEmz,20.44,94.46,-29.82,-47.76,67.98,47.78,-6.17,-81.19,8.21
DDcjx,EEhq,19.31,94.49,-35.97,-53.87,67.58,41.65,-8.34,-86.67,4.77
,EEkqy,11.92,86.52,-41.05,-69.13,54.49,27.55,-22.64,-99.39,-6.47
,EEbkv,25.89,96.99,-26.98,-46.83,72.08,50.73,-3.42,-75.11,11.67
,EEdhv,14.60,91.65,-38.36,-66.46,63.77,34.72,-18.89,-90.42,-1.17
Average,,15.13,90.66,-37.29,-60.64,62.11,36.65,-14.96,-65.91,3.22
