DD,EE,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz
Maximum,,24.01,5.68,20.65,26.27,11.95,17.74,11.13
,  ,24.01,5.68,20.65,26.27,11.95,17.74,11.13
DDcy,,24.01,4.34,19.52,26.27,11.95,17.74,9.18
,  EEqz,22.18,4.34,19.52,22.35,10.91,15.75,1.45
,  EEdhv,24.01,3.24,1.32,22.15,11.95,17.74,3.80
,  EEbkv,20.91,2.07,19.50,26.27,5.27,7.22,9.18
DDmx,,21.50,5.68,20.65,23.15,11.44,17.01,11.13
,  EEcrv,19.69,5.68,20.65,23.15,11.44,17.01,11.13
,  EEmz,19.14,1.53,16.08,20.13,7.89,11.40,8.53
,  EEkqy,21.50,3.42,19.06,21.30,9.30,15.41,9.61
