CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBbgp,AApqr_BBcjx,AApqr_BBnqx
CCkqy,DDmx,EEmz,FFgqt,52.50,83.26,98.01,65.68,30.35
,DDbsz,EEmz,FFgqt,48.50,82.10,93.89,60.12,10.39
,DDcwz,EEmz,FFgqt,39.34,70.30,83.46,55.61,4.03
CCbt,DDmx,EEmz,FFgqt,34.95,64.99,84.53,53.12,0.32
,DDmpy,EEmz,FFgqt,49.52,83.54,96.71,63.59,21.39
,DDhpt,EEmz,FFgqt,40.23,80.43,89.88,53.21,4.31
CCcy,DDhlt,EEmz,FFgqt,51.70,84.01,97.73,64.00,21.71
,DDbkv,EEmz,FFgqt,36.40,67.15,87.25,54.16,3.37
,DDbmz,EEmz,FFgqt,44.61,80.78,92.97,56.12,3.26
Minimum,,,,34.95,64.99,83.46,53.12,0.32
