AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,642.19
AApqr,BBnqx,CCbt,DDcy,EEbkv,387.52
AApqr,BBnqx,CCbt,DDcjx,EEkqy,136.72
AApqr,BBnqx,CCbt,DDmx,EEqz,268.13
AApqr,BBnqx,CCbt,DDcy,EEcrv,20.28
AApqr,BBnqx,CCbt,DDcjx,EEdhv,538.38
AApqr,BBnqx,CCbt,DDmx,EEbhk,667.89
AApqr,BBnqx,CCbt,DDcy,EEmz,28.79
AApqr,BBnqx,CCbt,DDcjx,EEbkv,414.97
AApqr,BBfnw,CCbt,DDmx,EEmz,31.78
AApqr,BBfnw,CCbt,DDcy,EEbkv,418.87
AApqr,BBfnw,CCbt,DDcjx,EEkqy,35.46
AApqr,BBfnw,CCbt,DDmx,EEqz,421.01
AApqr,BBfnw,CCbt,DDcy,EEcrv,807.7
AApqr,BBfnw,CCbt,DDcjx,EEdhv,44.23
AApqr,BBfnw,CCbt,DDmx,EEbhk,942.87
AApqr,BBfnw,CCbt,DDcy,EEmz,307.54
AApqr,BBfnw,CCbt,DDcjx,EEbkv,563.26
AApqr,BBlmr,CCbt,DDmx,EEmz,956.65
AApqr,BBlmr,CCbt,DDcy,EEbkv,61.75
AApqr,BBlmr,CCbt,DDcjx,EEkqy,828.07
AApqr,BBlmr,CCbt,DDmx,EEqz,447.58
AApqr,BBlmr,CCbt,DDcy,EEcrv,189.05
AApqr,BBlmr,CCbt,DDcjx,EEdhv,833.02
AApqr,BBlmr,CCbt,DDmx,EEbhk,67.03
AApqr,BBlmr,CCbt,DDcy,EEmz,454.16
AApqr,BBlmr,CCbt,DDcjx,EEbkv,839.18
AApqr,BBnqx,CCbt,DDmx,EEmz,79.1
AApqr,BBnqx,CCbt,DDcy,EEbkv,976.14
AApqr,BBnqx,CCbt,DDcjx,EEkqy,721.68
AApqr,BBnqx,CCbt,DDmx,EEqz,210.51
AApqr,BBnqx,CCbt,DDcy,EEcrv,90.93
AApqr,BBnqx,CCbt,DDcjx,EEdhv,92.26
AApqr,BBnqx,CCbt,DDmx,EEbhk,604.57
AApqr,BBnqx,CCbt,DDcy,EEmz,350.13
AApqr,BBnqx,CCbt,DDcjx,EEbkv,751.45
AApqr,BBfnw,CCbt,DDmx,EEmz,752.38
AApqr,BBfnw,CCbt,DDcy,EEbkv,495.6
AApqr,BBfnw,CCbt,DDcjx,EEkqy,371.31
AApqr,BBfnw,CCbt,DDmx,EEqz,379.17
AApqr,BBfnw,CCbt,DDcy,EEcrv,245.92
AApqr,BBfnw,CCbt,DDcjx,EEdhv,377.44
AApqr,BBfnw,CCbt,DDmx,EEbhk,123.97
AApqr,BBfnw,CCbt,DDcy,EEmz,764.22
AApqr,BBfnw,CCbt,DDcjx,EEbkv,767.41
