DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,Maximum
DDmx,,6.37,22.18,19.42,18.01,26.56,27.73,12.48,27.73
,  EEkqy,4.11,22.18,16.20,16.15,25.89,27.61,8.09,27.61
,  EEmz,2.08,18.21,2.05,14.93,26.56,26.71,8.04,26.71
,  EEcrv,6.37,22.14,19.42,18.01,12.47,27.73,12.48,27.73
DDcy,,6.45,25.91,23.32,19.39,26.87,27.64,11.02,27.64
,  EEqz,5.46,22.55,4.69,15.89,4.52,26.02,11.02,26.02
,  EEmz,6.45,25.91,23.32,19.39,12.45,25.67,8.83,25.91
,  EEbkv,2.68,21.49,16.34,15.15,26.87,27.64,6.56,27.64
Maximum,,6.45,25.91,23.32,19.39,26.87,27.73,12.48,27.73
,  ,6.45,25.91,23.32,19.39,26.87,27.73,12.48,27.73
