DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,Maximum
DDcy,,7.56,19.12,15.21,27.41,22.23,16.15,12.82,27.41
,  EEbkv,3.45,5.95,14.35,27.41,21.33,10.68,9.62,27.41
,  EEqz,4.21,18.27,14.28,23.83,20.57,13.07,11.24,23.83
,  EEdhv,7.56,19.12,15.21,8.66,22.23,16.15,12.82,22.23
DDmx,,4.05,19.95,18.47,24.00,22.66,16.12,11.17,24.00
,  EEkqy,4.05,18.79,16.42,24.00,22.66,0.23,7.44,24.00
,  EEmz,2.09,4.30,14.20,5.84,17.08,8.54,8.09,17.08
,  EEcrv,4.00,19.95,18.47,21.19,16.22,16.12,11.17,21.19
Maximum,,7.56,19.95,18.47,27.41,22.66,16.15,12.82,27.41
,  ,7.56,19.95,18.47,27.41,22.66,16.15,12.82,27.41
