DD,EE,AAdk_BBtw_CChv,AAdk_BBrz_CCdt,AArv_BBst_CCnw,AArv_BBsy_CChv
Average,,3.92,10.24,-8.48,12.07
,  ,3.92,10.24,-8.48,12.07
DDnt,,-61.79,37.23,-23.82,-32.92
,  EElp,-99.73,-50.75,-64.17,-34.08
,  EEhl,-87.68,87.34,-61.21,-27.26
,  EEdn,2.04,75.10,53.92,-37.42
DDpw,,40.22,41.96,-21.30,57.39
,  EEfh,28.22,76.68,-72.08,93.25
,  EEmn,52.05,-38.32,72.89,-18.27
,  EEhr,40.39,87.51,-64.71,97.18
DDtv,,33.33,-48.45,19.68,11.75
,  EEmn,16.70,-52.61,55.58,90.92
,  EEfx,32.20,-53.43,-64.78,-34.56
,  EEdn,51.08,-39.32,68.23,-21.11
