DD,EE,AAgqt_BBnry_CCkrs,AAgqt_BBlsx_CCkrs,AAgqt_BBfnw_CCkrs,AApqr_BBlmr_CCbt,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt
DDmx,EEksy,-65.70,-11.83,56.68,96.40,35.77,-35.48
,EEbhk,-81.49,-15.09,53.21,82.33,25.75,-35.63
,EEqz,-84.58,-20.23,50.57,79.48,17.57,-42.38
,EEmz,-90.21,-24.09,41.39,71.13,3.34,-48.44
,EEkqy,-60.47,-11.12,65.14,-94.04,38.27,-29.46
DDcy,EEqz,-54.41,-2.58,66.64,-93.32,35.13,-27.05
,EEbkv,-86.68,-23.00,44.52,73.96,14.56,-45.86
,EEmz,-63.04,-10.68,60.47,-99.24,36.14,-31.88
,EEmpy,-78.18,-14.75,54.43,87.26,29.11,-34.67
,EEcrv,-83.92,-20.00,51.78,79.97,18.93,-42.95
DDcjx,EEdhv,-85.99,-15.85,49.99,79.39,22.42,-36.36
,EEbkv,-61.65,-9.46,63.57,-95.89,36.78,-30.15
,EEhq,-66.26,-12.33,53.38,88.07,34.13,-35.05
,EEkqy,-86.45,-21.58,49.52,78.52,16.27,-44.03
,EEcrv,-51.16,-1.13,66.60,-92.91,39.05,-25.07
