DD,EE,AAgqt_BBdfv_CCbpv,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCbt,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx
Average,,-11.78,-73.08,6.69,-5.61,20.25,35.04,15.82,3.16
,  ,-11.78,-73.08,6.69,-5.61,20.25,35.04,15.82,3.16
DDcy,,-11.34,-94.13,27.74,-25.80,23.60,15.72,-4.55,4.32
,  EEmz,-7.70,-89.47,72.61,68.54,30.45,-17.79,86.23,-79.18
,  EEqz,-11.45,-94.52,-56.73,-70.43,27.24,-29.42,-44.03,49.05
,  EEbkv,-14.86,-98.40,67.33,-75.51,13.11,94.36,-55.84,43.09
DDmx,,-12.23,-52.03,-14.35,14.58,16.89,54.36,36.18,2.00
,  EEmz,-14.57,-97.76,-59.15,52.06,0.46,83.12,70.56,40.65
,  EEkqy,-12.57,-95.09,71.64,53.41,23.12,98.20,-45.17,43.78
,  EEcrv,-9.56,36.76,-55.54,-61.74,27.09,-18.23,83.15,-78.44
