DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbpv,AApqr_BBgv_CCcqx,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCkrs
DDcy,,-12.88,-9.84,34.22,10.81,-30.86,9.42,-1.10,88.20
,  EEdhv,-94.65,-1.61,83.46,26.62,60.09,-31.96,49.30,91.50
,  EEbkv,28.88,-19.64,-57.39,1.75,-77.53,-35.77,-91.70,85.04
,  EEqz,27.12,-8.26,76.60,4.07,-75.15,95.99,39.10,88.06
DDmx,,-14.54,-14.38,-55.45,5.18,51.76,51.47,-3.64,-41.11
,  EEkqy,27.25,-9.13,-54.29,1.84,50.78,-34.82,37.71,-41.00
,  EEmz,27.01,-31.13,-62.58,0.96,50.04,92.76,35.55,-44.21
,  EEcrv,-97.87,-2.88,-49.49,12.75,54.46,96.48,-84.17,-38.12
Average,,-13.71,-12.11,-10.62,8.00,10.45,30.45,-2.37,23.55
,  ,-13.71,-12.11,-10.62,8.00,10.45,30.45,-2.37,23.55
