CC,DD,AAfnw_BBqz,AAfnw_BBkrs,AApqr_BBcjx,AApqr_BBnqx,Minimum,EE,FF
CCbt,,72.13,24.07,46.03,1.05,1.05,,
,  DDmx,72.13,24.07,46.03,1.05,1.05,EEmz,FFgqt
,  DDhpt,77.20,32.54,48.74,10.34,10.34,EEhpx,FFlmr
,  DDmpy,86.93,40.84,64.84,12.65,12.65,EEmz,FFgqt
CCcy,,75.19,25.98,45.62,6.30,6.30,,
,  DDbmz,83.24,36.89,55.28,12.73,12.73,EEmz,FFgqt
,  DDmx,90.93,40.86,66.26,20.71,20.71,EEhpx,FFlmr
,  DDbkv,75.19,25.98,45.62,6.30,6.30,EEhpx,FFlmr
CCkqy,,76.73,24.32,48.28,8.98,8.98,,
,  DDbkv,93.85,45.35,71.93,21.15,21.15,EEmz,FFgqt
,  DDcwz,76.73,24.32,48.28,8.98,8.98,EEmz,FFgqt
,  DDbsz,85.67,38.52,55.39,13.15,13.15,EEhpx,FFlmr
