DD,EE,AApqr_BBnqx_CCbt,AApqr_BBhpt_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBnry_CCbpv,AAgqt_BBfnw_CCkrs
Average,,-10.61,1.39,-2.18,36.40,-18.35
,  ,-10.61,1.39,-2.18,36.40,-18.35
DDcjx,,24.19,13.45,-33.12,16.40,-16.96
,  EEdhv,17.10,-21.41,60.27,-50.11,-83.66
,  EEqz,38.69,-3.31,-58.46,90.52,54.92
,  EEmz,32.63,-16.68,-63.88,-47.42,-79.29
,  EEkqy,8.34,95.19,-70.43,72.63,40.20
DDmx,,-12.91,10.69,61.10,13.53,-52.12
,  EEqz,11.25,-25.22,59.72,-53.00,43.13
,  EEmz,4.33,92.59,55.34,70.39,-88.94
,  EEbkv,-95.45,-7.46,66.12,86.13,-78.09
,  EEbhk,28.24,-17.17,63.22,-49.38,-84.57
DDcy,,-43.12,-19.97,-34.52,79.25,14.03
,  EEcrv,13.69,-22.96,-69.28,77.29,-84.60
,  EEbkv,5.67,-35.21,55.04,71.45,40.99
,  EEmpy,-98.92,-16.09,-64.32,78.74,48.51
,  EEkqy,-92.90,-5.62,-59.53,89.52,51.21
