CC,DD,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBcjx,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBbpv,Minimum
CCbt,DDcwz,53.32,87.34,59.39,3.54,19.83,75.43,3.54
,DDmx,37.56,84.91,58.79,1.76,15.22,70.78,1.76
,DDbmz,58.71,93.10,67.92,10.63,25.67,81.84,10.63
CCfnw,DDgv,59.49,95.10,69.01,13.41,32.98,82.49,13.41
,DDkrs,44.99,85.93,62.36,2.56,17.78,72.16,2.56
,DDqz,56.67,88.36,64.24,5.52,21.95,75.48,5.52
CChpx,DDmx,58.61,98.61,70.63,15.74,36.84,83.39,15.74
,DDlmr,53.92,82.69,62.79,2.31,17.54,70.57,2.31
,DDcmp,57.13,86.58,60.28,7.06,25.06,78.37,7.06
Minimum,,37.56,82.69,58.79,1.76,15.22,70.57,1.76
