AAdk-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,800.32
AAdk,BBtw,CChv,DDtv,EEmn,642.11
AAdk,BBtw,CChv,DDnt,EEfh,962.02
AAdk,BBtw,CChv,DDtv,EElp,964.12
AAdk,BBst,CChv,DDnt,EEdn,98.23
AAdk,BBst,CChv,DDtv,EEmn,931.92
AAdk,BBst,CChv,DDnt,EEfh,551.84
AAdk,BBst,CChv,DDtv,EElp,294.17
AAdk,BBtw,CChv,DDnt,EEdn,618.62
AAdk,BBtw,CChv,DDtv,EEmn,11.36
AAdk,BBtw,CChv,DDnt,EEfh,791.72
AAdk,BBtw,CChv,DDtv,EElp,46.14
AAdk,BBst,CChv,DDnt,EEdn,433.73
AAdk,BBst,CChv,DDtv,EEmn,307.85
AAdk,BBst,CChv,DDnt,EEfh,23.45
AAdk,BBst,CChv,DDtv,EElp,122.67
