AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,257.85
AApqr,BBnqx,CCbt,DDcy,EEbkv,645.34
AApqr,BBnqx,CCbt,DDcjx,EEkqy,774.0
AApqr,BBnqx,CCbt,DDmx,EEqz,391.96
AApqr,BBnqx,CCbt,DDcy,EEcrv,395.53
AApqr,BBnqx,CCbt,DDcjx,EEdhv,140.49
AApqr,BBnqx,CCbt,DDmx,EEbhk,525.47
AApqr,BBnqx,CCbt,DDcy,EEmpy,140.71
AApqr,BBnqx,CCbt,DDcjx,EEmz,783.59
AApqr,BBfnw,CCbt,DDmx,EEmz,144.8
AApqr,BBfnw,CCbt,DDcy,EEbkv,787.42
AApqr,BBfnw,CCbt,DDcjx,EEkqy,25.58
AApqr,BBfnw,CCbt,DDmx,EEqz,26.54
AApqr,BBfnw,CCbt,DDcy,EEcrv,27.86
AApqr,BBfnw,CCbt,DDcjx,EEdhv,31.97
AApqr,BBfnw,CCbt,DDmx,EEbhk,677.28
AApqr,BBfnw,CCbt,DDcy,EEmpy,423.66
AApqr,BBfnw,CCbt,DDcjx,EEmz,426.31
AApqr,BBlmr,CCbt,DDmx,EEmz,556.28
AApqr,BBlmr,CCbt,DDcy,EEbkv,44.84
AApqr,BBlmr,CCbt,DDcjx,EEkqy,45.53
AApqr,BBlmr,CCbt,DDmx,EEqz,432.93
AApqr,BBlmr,CCbt,DDcy,EEcrv,306.42
AApqr,BBlmr,CCbt,DDcjx,EEdhv,434.7
AApqr,BBlmr,CCbt,DDmx,EEbhk,950.31
AApqr,BBlmr,CCbt,DDcy,EEmpy,440.59
AApqr,BBlmr,CCbt,DDcjx,EEmz,317.06
AApqr,BBnqx,CCbt,DDmx,EEmz,702.74
AApqr,BBnqx,CCbt,DDcy,EEbkv,320.19
AApqr,BBnqx,CCbt,DDcjx,EEkqy,833.09
AApqr,BBnqx,CCbt,DDmx,EEqz,838.2
AApqr,BBnqx,CCbt,DDcy,EEcrv,333.51
AApqr,BBnqx,CCbt,DDcjx,EEdhv,973.88
AApqr,BBnqx,CCbt,DDmx,EEbhk,599.26
AApqr,BBnqx,CCbt,DDcy,EEmpy,215.01
AApqr,BBnqx,CCbt,DDcjx,EEmz,994.74
AApqr,BBfnw,CCbt,DDmx,EEmz,105.96
AApqr,BBfnw,CCbt,DDcy,EEbkv,746.7
AApqr,BBfnw,CCbt,DDcjx,EEkqy,617.67
AApqr,BBfnw,CCbt,DDmx,EEqz,233.28
AApqr,BBfnw,CCbt,DDcy,EEcrv,624.73
AApqr,BBfnw,CCbt,DDcjx,EEdhv,755.3
AApqr,BBfnw,CCbt,DDmx,EEbhk,119.48
AApqr,BBfnw,CCbt,DDcy,EEmpy,507.95
AApqr,BBfnw,CCbt,DDcjx,EEmz,767.59
