CC,DD,AApqr_BBnqx,AApqr_BBcjx,AAcy_BBhpt,AAcy_BBbkv,AAmz_BBgqt,AAmz_BBbpv
CCfnw,DDkrs,1.58,55.02,86.31,23.21,17.71,73.34
,DDmx,13.65,59.55,97.38,50.18,25.53,82.77
,DDqz,9.20,58.92,92.65,35.53,22.15,76.43
CCbt,DDcwz,8.00,54.29,87.07,30.97,21.06,75.38
,DDmx,0.86,54.35,85.84,27.79,18.67,70.98
,DDbmz,13.37,57.53,95.39,48.54,22.22,80.11
CChpx,DDkrs,17.79,66.72,99.26,51.61,25.91,80.51
,DDlmr,6.06,56.02,87.94,30.37,20.28,74.65
,DDcmp,9.14,55.32,93.28,36.67,22.44,80.21
Minimum,,0.86,54.29,85.84,23.21,17.71,70.98
