CC,DD,AAdk_BBpw,AAdk_BBqx,AAdk_BBtw,AAtv_BBhz,AAtv_BBmn,AAdn_BBdl,AAdn_BBrv,Minimum
CChv,,49.03,73.05,0.44,70.47,32.81,60.17,15.58,0.44
,  DDrz,49.16,82.77,3.11,72.63,39.31,62.18,25.61,3.11
,  DDnt,49.03,73.05,0.44,70.47,32.81,60.17,15.58,0.44
,  DDlp,54.32,88.91,7.13,74.88,42.75,64.80,29.05,7.13
CCst,,50.08,71.06,3.89,71.61,33.71,60.33,17.29,3.89
,  DDcs,55.99,94.17,13.85,75.00,44.40,61.70,31.75,13.85
,  DDnw,50.08,71.06,3.89,71.61,33.71,60.33,17.29,3.89
,  DDcl,54.58,84.79,5.39,73.42,41.49,60.61,29.31,5.39
Minimum,,49.03,71.06,0.44,70.47,32.81,60.17,15.58,0.44
,  ,49.03,71.06,0.44,70.47,32.81,60.17,15.58,0.44
