AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,534.99
AAdk,BBtw,CCst,DDnw,920.28
AAdk,BBtw,CChv,DDrz,541.72
AAdk,BBtw,CCst,DDcl,926.77
AAdk,BBtw,CChv,DDlp,33.6
AAdk,BBtw,CCst,DDnt,34.01
AAdk,BBrv,CChv,DDnt,930.9
AAdk,BBrv,CCst,DDnw,682.89
AAdk,BBrv,CChv,DDrz,811.04
AAdk,BBrv,CCst,DDcl,571.2
AAdk,BBrv,CChv,DDlp,315.14
AAdk,BBrv,CCst,DDnt,573.49
AAdk,BBmn,CChv,DDnt,319.69
AAdk,BBmn,CCst,DDnw,323.42
AAdk,BBmn,CChv,DDrz,67.94
AAdk,BBmn,CCst,DDcl,840.26
AAdk,BBmn,CChv,DDlp,466.96
AAdk,BBmn,CCst,DDnt,987.58
AAdk,BBtw,CChv,DDnt,91.04
AAdk,BBtw,CCst,DDnw,224.79
AAdk,BBtw,CChv,DDrz,866.15
AAdk,BBtw,CCst,DDcl,364.0
AAdk,BBtw,CChv,DDlp,240.47
AAdk,BBtw,CCst,DDnt,505.1
