DD,EE,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,Maximum
DDcjx,,9.10,25.83,24.26,18.25,25.15,18.52,12.19,25.83
,  EEkqy,3.35,24.36,19.93,4.83,21.52,11.92,8.14,24.36
,  EEbkv,9.10,7.34,24.26,18.25,25.15,18.52,12.19,25.15
,  EEdhv,5.98,25.83,21.70,16.32,22.97,14.73,10.74,25.83
DDcy,,4.80,24.03,27.18,27.46,26.77,17.58,26.45,27.46
,  EEbkv,2.94,24.03,0.08,24.99,20.26,11.71,26.45,26.45
,  EEcrv,4.80,23.02,27.18,16.89,23.34,8.39,10.84,27.18
,  EEmz,2.22,5.60,3.89,27.46,26.77,17.58,12.06,27.46
DDmx,,7.90,26.06,22.05,16.84,25.40,13.73,11.84,26.06
,  EEqz,4.94,24.59,7.96,16.02,22.10,13.73,9.86,24.59
,  EEbhk,7.90,26.06,22.05,16.84,25.40,7.95,11.84,26.06
,  EEmz,1.15,21.67,6.20,12.07,17.23,4.73,7.01,21.67
