Import-AAdk,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AAdk,BBtw,CChv,DDnt,EEdn,392.34
AAdk,BBtw,CChv,DDtv,EEmn,16.41
AAdk,BBtw,CChv,DDpw,EEfh,145.16
AAdk,BBtw,CChv,DDnt,EElp,665.68
AAdk,BBtw,CChv,DDtv,EEfx,668.71
AAdk,BBtw,CChv,DDpw,EEhr,540.07
AAdk,BBtw,CChv,DDnt,EEhl,159.24
AAdk,BBtw,CChv,DDtv,EEdn,549.79
AAdk,BBtw,CChv,DDpw,EEmn,425.03
AAdk,BBst,CChv,DDnt,EEdn,937.49
AAdk,BBst,CChv,DDtv,EEmn,45.3
AAdk,BBst,CChv,DDpw,EEfh,943.96
AAdk,BBst,CChv,DDnt,EElp,47.2
AAdk,BBst,CChv,DDtv,EEfx,47.55
AAdk,BBst,CChv,DDpw,EEhr,437.55
AAdk,BBst,CChv,DDnt,EEhl,566.97
AAdk,BBst,CChv,DDtv,EEdn,439.22
AAdk,BBst,CChv,DDpw,EEmn,186.55
AAdk,BBtw,CChv,DDnt,EEdn,66.1
AAdk,BBtw,CChv,DDtv,EEmn,67.14
AAdk,BBtw,CChv,DDpw,EEfh,196.73
AAdk,BBtw,CChv,DDnt,EElp,197.36
AAdk,BBtw,CChv,DDtv,EEfx,839.57
AAdk,BBtw,CChv,DDpw,EEhr,712.55
AAdk,BBtw,CChv,DDnt,EEhl,714.13
AAdk,BBtw,CChv,DDtv,EEdn,843.08
AAdk,BBtw,CChv,DDpw,EEmn,205.06
AAdk,BBst,CChv,DDnt,EEdn,595.21
AAdk,BBst,CChv,DDtv,EEmn,723.36
AAdk,BBst,CChv,DDpw,EEfh,472.26
AAdk,BBst,CChv,DDnt,EElp,862.75
AAdk,BBst,CChv,DDtv,EEfx,354.12
AAdk,BBst,CChv,DDpw,EEhr,355.18
AAdk,BBst,CChv,DDnt,EEhl,238.46
AAdk,BBst,CChv,DDtv,EEdn,758.44
AAdk,BBst,CChv,DDpw,EEmn,764.42
