Import-AApqr,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,771.04
AApqr,BBnqx,CCbt,DDcy,EEbkv,388.73
AApqr,BBnqx,CCbt,DDcjx,EEkqy,133.01
AApqr,BBnqx,CCbt,DDmx,EEqz,520.51
AApqr,BBnqx,CCbt,DDcy,EEcrv,400.5
AApqr,BBnqx,CCbt,DDcjx,EEdhv,659.89
AApqr,BBnqx,CCbt,DDmx,EEbhk,792.42
AApqr,BBnqx,CCbt,DDcy,EEmpy,665.26
AApqr,BBnqx,CCbt,DDcjx,EEhq,409.09
AApqr,BBfnw,CCbt,DDmx,EEmz,27.37
AApqr,BBfnw,CCbt,DDcy,EEbkv,159.22
AApqr,BBfnw,CCbt,DDcjx,EEkqy,416.18
AApqr,BBfnw,CCbt,DDmx,EEqz,426.38
AApqr,BBfnw,CCbt,DDcy,EEcrv,554.11
AApqr,BBfnw,CCbt,DDcjx,EEdhv,426.57
AApqr,BBfnw,CCbt,DDmx,EEbhk,49.52
AApqr,BBfnw,CCbt,DDcy,EEmpy,821.41
AApqr,BBfnw,CCbt,DDcjx,EEhq,823.97
AApqr,BBlmr,CCbt,DDmx,EEmz,56.61
AApqr,BBlmr,CCbt,DDcy,EEbkv,952.63
AApqr,BBlmr,CCbt,DDcjx,EEkqy,317.44
AApqr,BBlmr,CCbt,DDmx,EEqz,198.88
AApqr,BBlmr,CCbt,DDcy,EEcrv,713.54
AApqr,BBlmr,CCbt,DDcjx,EEdhv,843.85
AApqr,BBlmr,CCbt,DDmx,EEbhk,76.72
AApqr,BBlmr,CCbt,DDcy,EEmpy,589.84
AApqr,BBlmr,CCbt,DDcjx,EEhq,975.87
AApqr,BBnqx,CCbt,DDmx,EEmz,467.05
AApqr,BBnqx,CCbt,DDcy,EEbkv,595.67
AApqr,BBnqx,CCbt,DDcjx,EEkqy,981.71
AApqr,BBnqx,CCbt,DDmx,EEqz,345.87
AApqr,BBnqx,CCbt,DDcy,EEcrv,889.49
AApqr,BBnqx,CCbt,DDcjx,EEdhv,863.13
AApqr,BBnqx,CCbt,DDmx,EEbhk,737.32
AApqr,BBnqx,CCbt,DDcy,EEmpy,482.51
AApqr,BBnqx,CCbt,DDcjx,EEhq,228.08
AApqr,BBfnw,CCbt,DDmx,EEmz,869.18
AApqr,BBfnw,CCbt,DDcy,EEbkv,495.68
AApqr,BBfnw,CCbt,DDcjx,EEkqy,882.45
AApqr,BBfnw,CCbt,DDmx,EEqz,754.68
AApqr,BBfnw,CCbt,DDcy,EEcrv,501.78
AApqr,BBfnw,CCbt,DDcjx,EEdhv,246.12
AApqr,BBfnw,CCbt,DDmx,EEbhk,503.01
AApqr,BBfnw,CCbt,DDcy,EEmpy,761.5
AApqr,BBfnw,CCbt,DDcjx,EEhq,892.26
