DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCbpv
Maximum,,26.25,24.14,17.21,17.71,8.33,27.32
,  ,26.25,24.14,17.21,17.71,8.33,27.32
DDmx,,25.10,21.96,16.99,15.34,7.22,25.25
,  EEbhk,25.10,21.96,16.99,15.34,7.22,25.25
,  EEqz,22.54,19.49,5.19,11.95,4.38,6.60
,  EEmz,19.26,5.21,10.68,10.71,0.40,23.80
DDcjx,,26.09,24.14,17.21,17.71,7.98,27.32
,  EEdhv,23.00,20.66,7.45,0.23,6.88,6.65
,  EEkqy,21.31,5.81,10.79,11.51,2.71,27.32
,  EEbkv,26.09,24.14,17.21,17.71,7.98,8.86
DDcy,,26.25,23.86,17.12,16.21,8.33,20.17
,  EEmz,26.25,23.86,17.12,16.21,8.33,7.83
,  EEbkv,18.81,18.83,9.77,10.94,2.37,20.17
,  EEcrv,23.78,20.11,14.38,12.08,5.62,5.68
