AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,383.95
AAdk,BBtw,CCst,DDnw,393.09
AAdk,BBtw,CCbx,DDrz,13.27
AAdk,BBtw,CChv,DDcl,786.19
AAdk,BBtw,CCst,DDlp,661.4
AAdk,BBtw,CCbx,DDcs,21.77
AAdk,BBtw,CChv,DDhm,412.12
AAdk,BBtw,CCst,DDdf,29.82
AAdk,BBtw,CCbx,DDnt,674.54
AAdk,BBrv,CChv,DDnt,678.14
AAdk,BBrv,CCst,DDnw,45.62
AAdk,BBrv,CCbx,DDrz,561.32
AAdk,BBrv,CChv,DDcl,947.44
AAdk,BBrv,CCst,DDlp,309.51
AAdk,BBrv,CCbx,DDcs,186.24
AAdk,BBrv,CChv,DDhm,576.38
AAdk,BBrv,CCst,DDdf,68.5
AAdk,BBrv,CCbx,DDnt,714.68
AAdk,BBmn,CChv,DDnt,330.25
AAdk,BBmn,CCst,DDnw,207.05
AAdk,BBmn,CCbx,DDrz,336.44
AAdk,BBmn,CChv,DDcl,849.53
AAdk,BBmn,CCst,DDlp,211.94
AAdk,BBmn,CCbx,DDcs,213.55
AAdk,BBmn,CChv,DDhm,597.33
AAdk,BBmn,CCst,DDdf,856.46
AAdk,BBmn,CCbx,DDnt,730.22
AAdk,BBtw,CChv,DDnt,350.92
AAdk,BBtw,CCst,DDnw,999.79
AAdk,BBtw,CCbx,DDrz,745.14
AAdk,BBtw,CChv,DDcl,108.15
AAdk,BBtw,CCst,DDlp,876.55
AAdk,BBtw,CCbx,DDcs,247.49
AAdk,BBtw,CChv,DDhm,760.77
AAdk,BBtw,CCst,DDdf,250.81
AAdk,BBtw,CCbx,DDnt,383.73
