CC,DD,AAfnw_BBkrs,AAfnw_BBbgp,AApqr_BBlt,AApqr_BBqz,AApqr_BBnqx,AAcqx_BBgv,AAcqx_BBcjx,Minimum,EE,FF
CCbt,,22.79,64.33,87.65,58.60,0.34,76.23,42.58,0.34,,
,  DDhpt,22.79,65.21,91.75,58.60,5.58,79.76,47.56,5.58,EEmz,FFgqt
,  DDmx,23.92,64.72,87.65,61.84,0.34,76.23,42.58,0.34,EEmz,FFgqt
,  DDmpy,35.18,64.33,96.40,61.75,15.68,83.33,61.29,15.68,EEmz,FFgqt
CCkqy,,23.38,66.30,89.05,57.63,1.87,78.39,45.61,1.87,,
,  DDbsz,33.95,66.30,94.47,60.66,9.88,82.29,50.75,9.88,EEmz,FFgqt
,  DDcwz,23.38,66.79,89.05,57.63,1.87,78.39,45.61,1.87,EEmz,FFgqt
,  DDbkv,37.33,76.50,99.24,61.70,22.81,86.66,52.46,22.81,EEmz,FFgqt
CCcy,,23.03,59.23,88.46,56.95,1.08,78.00,43.35,1.08,,
,  DDbkv,23.03,62.91,88.46,56.95,1.08,78.62,43.35,1.08,EEmz,FFgqt
,  DDmx,35.43,74.30,97.05,61.23,19.25,84.37,52.06,19.25,EEmz,FFgqt
,  DDbmz,27.75,59.23,91.52,59.26,6.41,78.00,49.07,6.41,EEmz,FFgqt
Minimum,,22.79,59.23,87.65,56.95,0.34,76.23,42.58,0.34,,
,  ,22.79,59.23,87.65,56.95,0.34,76.23,42.58,0.34,,
