CC,DD,AApqr_BBcjx,AApqr_BBnqx,AAfnw_BBkrs,AAfnw_BBqz,EE,FF
Minimum,,59.70,1.18,28.22,81.80,,
,  ,59.70,1.18,28.22,81.80,,
CCkqy,,67.87,4.76,32.48,84.74,,
,  DDmx,78.85,23.40,55.40,98.94,EEmz,FFgqt
,  DDcwz,67.87,4.76,32.48,84.74,EEmz,FFbpv
,  DDbsz,75.57,12.68,52.37,93.98,EEhpx,FFlmr
CCbt,,59.70,1.18,28.22,81.80,,
,  DDmx,59.70,1.18,28.22,81.80,EEmz,FFgqt
,  DDmpy,78.66,15.13,52.32,94.97,EEmz,FFbpv
,  DDhpt,69.75,10.37,35.42,89.18,EEhpx,FFcmp
CCcy,,67.98,4.44,30.29,82.44,,
,  DDhlt,79.25,23.09,54.47,95.12,EEhpx,FFcmp
,  DDbkv,67.98,4.44,30.29,82.44,EEhpx,FFlmr
,  DDbmz,72.37,11.26,50.92,90.94,EEmz,FFgqt
