CC,DD,EE,FF,AAfnw_BBkrs,AAfnw_BBqz,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,Minimum
CCkqy,DDcwz,EEmz,FFbpv,35.16,72.22,5.63,90.00,56.16,5.63
,DDbsz,EEhpx,FFlmr,42.07,73.87,19.98,94.68,63.06,19.98
,DDbkv,EEmz,FFgqt,49.56,79.29,26.38,97.03,69.82,26.38
CCcy,DDbmz,EEmz,FFgqt,36.32,75.73,11.45,90.38,59.53,11.45
,DDmx,EEhpx,FFcmp,48.89,78.06,23.26,90.82,65.31,23.26
,DDbkv,EEhpx,FFlmr,29.61,72.70,1.08,90.32,52.61,1.08
CCbt,DDhpt,EEhpx,FFcmp,36.83,74.35,11.53,92.66,58.82,11.53
,DDmpy,EEmz,FFbpv,43.38,73.86,23.64,91.82,64.41,23.64
,DDmx,EEmz,FFgqt,29.57,71.11,0.39,89.48,51.05,0.39
Minimum,,,,29.57,71.11,0.39,89.48,51.05,0.39
