CC,DD,AAmz_BBhpt,AAmz_BBcjx,AAmz_BBgqt,AApqr_BBbkv,AApqr_BBbpv,AApqr_BBnqx
Average,,-11.24,17.15,-23.93,8.56,46.75,14.22
,  ,-11.24,17.15,-23.93,8.56,46.75,14.22
CCfnw,,3.13,2.78,10.65,6.24,-39.82,15.00
,  DDkrs,45.32,3.27,-36.15,48.99,-40.39,12.79
,  DDgv,-14.39,-60.55,34.75,52.74,-38.76,18.29
,  DDqz,-21.55,65.63,33.36,-83.02,-40.30,13.92
CChpx,,-15.90,26.33,-29.12,8.16,91.22,15.56
,  DDdlz,-13.02,70.44,-93.14,-75.71,92.99,19.60
,  DDlmr,-13.78,71.58,-29.15,49.31,91.20,13.69
,  DDcmp,-20.89,-63.03,34.93,50.87,89.47,13.39
CCbt,,-20.96,22.35,-53.31,11.28,88.86,12.10
,  DDcwz,-22.24,62.55,-96.90,-1.05,87.71,9.13
,  DDmx,-23.32,-61.31,31.14,-16.64,88.70,11.46
,  DDbmz,-17.32,65.81,-94.18,51.53,90.17,15.71
