Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,637.64
AAdk,BBtw,CCst,DDnw,518.05
AAdk,BBtw,CCbx,DDrz,778.84
AAdk,BBtw,CChv,DDcl,524.93
AAdk,BBtw,CCst,DDlp,268.15
AAdk,BBtw,CCbx,DDcs,275.76
AAdk,BBtw,CChv,DDhm,789.51
AAdk,BBtw,CCst,DDdf,407.26
AAdk,BBtw,CCbx,DDnt,920.3
AAdk,BBrv,CChv,DDnt,407.91
AAdk,BBrv,CCst,DDnw,412.28
AAdk,BBrv,CCbx,DDrz,157.83
AAdk,BBrv,CChv,DDcl,683.4
AAdk,BBrv,CCst,DDlp,432.49
AAdk,BBrv,CCbx,DDcs,434.91
AAdk,BBrv,CChv,DDhm,442.3
AAdk,BBrv,CCst,DDdf,445.62
AAdk,BBrv,CCbx,DDnt,318.7
AAdk,BBmn,CChv,DDnt,65.17
AAdk,BBmn,CCst,DDnw,706.43
AAdk,BBmn,CCbx,DDrz,194.83
AAdk,BBmn,CChv,DDcl,581.32
AAdk,BBmn,CCst,DDlp,717.14
AAdk,BBmn,CCbx,DDcs,718.1
AAdk,BBmn,CChv,DDhm,468.37
AAdk,BBmn,CCst,DDdf,213.66
AAdk,BBmn,CCbx,DDnt,220.1
AAdk,BBtw,CChv,DDnt,353.2
AAdk,BBtw,CCst,DDnw,249.2
AAdk,BBtw,CCbx,DDrz,744.8
AAdk,BBtw,CChv,DDcl,619.7
AAdk,BBtw,CCst,DDlp,757.54
AAdk,BBtw,CCbx,DDcs,886.64
AAdk,BBtw,CChv,DDhm,887.6
AAdk,BBtw,CCst,DDdf,505.27
AAdk,BBtw,CCbx,DDnt,125.13
