DD,EE,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx,AApqr_BBgv_CCbt,AApqr_BBnqx_CCbt,AApqr_BBnry_CCbt,AAgqt_BBdfv_CCkrs,AAgqt_BBfnw_CCkrs,AAgqt_BBhpt_CCkrs
DDmx,,6.18,-3.15,49.91,18.64,-26.38,-18.18,-93.47,-14.46
,  EEqz,-81.36,83.86,93.79,21.33,-71.68,-26.30,-96.60,-58.00
,  EEbhk,54.90,-43.38,95.24,22.03,63.60,0.01,-87.36,-53.51
,  EEmz,45.00,-49.92,-39.29,12.56,-71.07,-28.24,-96.44,68.14
DDcjx,,9.89,41.05,50.08,23.99,17.22,-16.13,-47.40,74.24
,  EEkqy,48.11,-47.63,84.31,19.74,59.49,-26.41,-95.55,71.97
,  EEdhv,53.88,85.19,95.37,21.52,-71.59,-20.14,-91.86,74.54
,  EEmz,-72.31,85.60,-29.45,30.71,63.75,-1.84,45.22,76.20
DDcy,,8.97,-1.68,50.34,-21.49,16.30,-18.92,-7.88,-14.92
,  EEcrv,52.91,-44.22,-34.74,22.14,60.96,-23.16,30.02,-55.94
,  EEmpy,55.09,-41.46,96.39,-98.69,64.17,-6.43,42.03,70.12
,  EEbkv,-81.09,80.63,89.36,12.09,-76.23,-27.16,-95.68,-58.94
Average,,8.35,12.07,50.11,7.05,2.38,-17.74,-49.58,14.95
,  ,8.35,12.07,50.11,7.05,2.38,-17.74,-49.58,14.95
