DD,EE,AApqr_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbt
DDcy,EEmpy,-19.72,25.87,64.87,47.26,-47.89
,EEbkv,42.82,19.57,-1.61,-23.32,15.87
,EEcrv,-25.31,19.83,-67.67,-89.60,-52.94
DDcjx,EEkqy,-18.60,-44.27,-63.38,-22.43,18.15
,EEdhv,-25.65,20.90,-66.28,-87.87,81.40
,EEhq,-18.27,-99.90,-62.75,51.75,84.90
DDmx,EEqz,-28.71,11.26,-69.67,36.43,72.64
,EEmz,-24.46,15.87,-3.24,-21.14,78.81
,EEbhk,-22.63,23.16,63.86,47.08,-46.47
Average,,-15.62,-0.86,-22.87,-6.87,22.72
