CC,DD,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBgqt,AAmz_BBcjx,Average
CCbt,DDcwz,-22.54,-69.90,24.37,-86.93,-51.13,-41.23
,DDmx,-29.34,-75.36,0.53,37.92,-56.69,-24.59
,DDmpy,-3.02,65.64,-93.91,-88.25,86.20,-6.67
,DDbmz,-10.96,62.25,28.96,43.51,-45.33,15.69
CCfnw,DDgv,-6.01,59.95,30.04,-82.95,-44.50,-8.69
,DDmx,-2.31,-62.85,-93.31,-88.44,84.33,-32.52
,DDkrs,-25.58,-74.64,3.67,40.42,74.59,3.69
,DDqz,-20.71,60.62,24.56,-88.81,-50.16,-14.90
CChpx,DDdlz,-4.21,63.03,33.26,-81.25,85.65,19.30
,DDcmp,-15.77,-69.17,26.76,44.62,77.12,12.71
,DDkrs,-1.31,-58.38,-91.86,-76.99,92.05,-27.30
,DDlmr,-23.90,58.38,14.18,-87.06,75.90,7.50
