DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCkrs,AAgqt_BBhpt_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBgv_CCbt,AApqr_BBnry_CCbt,AAhpx_BBlmr_CCcqx,AAhpx_BBlsx_CCcqx
DDcy,EEjvz,42.34,-18.69,97.92,23.04,-41.08,-3.35,61.47,-79.24
,EEkqy,46.64,-9.99,99.85,23.06,-38.62,84.25,60.84,-75.06
,EEcrv,34.56,-29.39,90.10,7.05,-58.49,74.98,53.48,-89.85
,EEmpy,40.80,-21.10,92.99,14.01,-51.31,78.96,56.40,-82.21
,EEbkv,29.43,-38.27,82.50,1.99,-72.33,67.19,50.85,-95.41
DDmx,EEqz,31.71,-32.52,84.63,4.95,-60.74,72.05,52.13,-89.29
,EEbkv,46.51,-16.15,98.80,24.30,-39.91,83.01,61.93,-76.53
,EEksy,41.25,-19.25,96.42,21.21,-48.27,80.43,59.09,-79.46
,EEbhk,39.78,-24.44,92.60,14.76,-54.86,77.61,54.28,-84.49
,EEmz,29.62,-37.38,82.29,0.49,-73.35,67.88,47.00,-99.06
DDcjx,EEhq,41.97,-21.59,94.31,17.21,-49.45,79.19,59.39,-81.22
,EEkqy,30.23,-33.61,88.63,3.98,-61.80,69.56,51.26,-92.02
,EEqz,48.31,-3.15,77.34,28.40,-37.18,83.93,64.38,-74.37
,EEdhv,35.83,-25.80,90.43,13.51,-55.06,75.24,50.82,-89.79
,EEmz,45.12,-16.46,98.33,24.75,-41.48,82.70,62.30,-77.40
Average,,38.94,-23.19,91.14,14.85,-52.26,71.58,56.37,-84.36
