DD,EE,AAhpx_BBnqx_CCcqx,AAhpx_BBfnw_CCbmz,AApqr_BBnqx_CCbt,AApqr_BBfnw_CCbpv,AAgqt_BBnqx_CCprw,AAgqt_BBfnw_CCkrs,Maximum
DDcjx,EEbkv,21.13,23.72,9.17,3.67,18.07,18.70,23.72
,EEdhv,23.32,23.42,5.17,27.25,17.06,15.45,27.25
,EEkqy,21.96,7.28,3.93,27.56,12.42,9.08,27.56
DDcy,EEcrv,23.46,22.14,5.81,27.10,16.52,14.62,27.10
,EEmz,25.37,23.94,8.43,26.15,5.12,16.81,26.15
,EEbkv,20.00,19.83,1.07,24.57,12.41,11.82,24.57
DDmx,EEqz,22.30,20.98,4.10,25.31,16.71,13.94,25.31
,EEmz,19.50,18.05,1.52,22.80,9.11,10.76,22.80
,EEbhk,22.44,23.25,6.80,26.45,17.16,16.34,26.45
Maximum,,25.37,23.94,9.17,27.56,18.07,18.70,27.56
