CC,DD,AAmz_BBdhv,AAmz_BBgqt,AAmz_BBbpv,AAcy_BBbkv,AAcy_BBhpt,AApqr_BBnqx,AApqr_BBcjx,AApqr_BBbgp
CCbt,DDmpy,-9.14,36.73,-87.48,59.04,-65.81,21.03,82.36,-29.68
,DDcwz,-17.92,27.68,-7.58,49.86,-85.27,4.57,64.46,-53.52
,DDbmz,-13.79,27.92,-92.36,53.00,-77.99,6.56,75.45,-49.79
,DDmx,-23.02,22.99,86.40,44.74,-83.79,0.28,62.78,-59.57
CCfnw,DDgv,-12.51,30.17,-92.68,57.83,-83.58,11.85,76.40,-36.36
,DDknr,-7.14,41.25,-85.38,59.25,-64.43,21.16,84.25,-28.54
,DDkrs,-23.07,26.71,99.02,46.94,-82.02,1.97,63.00,-56.23
,DDqz,-15.09,29.36,-94.32,51.43,-79.86,4.67,67.93,-52.38
CChpx,DDdlz,-12.24,35.68,-88.40,58.34,-81.48,18.25,81.07,-31.53
,DDlmr,-21.81,27.40,0.59,46.03,-82.31,2.85,60.50,-56.11
,DDmx,-3.72,42.81,-84.02,61.38,-63.17,23.14,86.67,-28.86
,DDcmp,-14.40,29.09,-93.01,51.49,-78.08,6.99,69.44,-50.26
