DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx
DDcy,,-47.10,10.37,6.70,-20.47
,  EEjvz,-72.19,-17.97,31.67,-46.48
,  EEcrv,-83.81,94.33,14.66,72.45
,  EEmpy,44.19,-29.98,23.81,-51.61
,  EEbkv,-76.58,-4.92,-43.34,-56.25
DDmx,,16.44,-29.81,-28.39,42.14
,  EEmz,49.66,-25.26,-45.91,74.20
,  EEksy,53.42,-23.26,-98.68,77.43
,  EEbhk,-81.36,-34.88,21.72,-53.26
,  EEqz,44.04,-35.83,9.31,70.18
DDcjx,,20.71,12.10,-22.90,13.94
,  EEhq,53.49,-28.63,24.29,-51.68
,  EEkqy,52.76,-2.48,-40.49,78.12
,  EEdhv,46.97,95.10,20.26,75.56
,  EEdfk,-70.39,-15.57,-95.64,-46.24
Average,,-3.32,-2.45,-14.86,11.87
,  ,-3.32,-2.45,-14.86,11.87
