DD,EE,AAgqt_BBfnw_CCkrs,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AApqr_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx
DDcjx,,16.67,27.75,17.60,25.28,25.07,8.00,23.86
,  EEdhv,13.32,26.80,4.53,14.91,22.13,3.49,23.86
,  EEmz,16.67,27.75,6.56,4.12,25.07,8.00,21.62
,  EEkqy,11.08,25.39,17.60,25.28,20.72,0.69,20.91
DDcy,,16.10,26.02,18.36,14.74,23.46,4.55,25.34
,  EEcrv,12.14,25.49,4.93,14.74,1.01,4.55,22.41
,  EEbkv,1.06,23.79,1.05,8.42,19.46,1.07,19.59
,  EEmpy,16.10,26.02,18.36,3.20,23.46,3.46,25.34
DDmx,,11.59,24.94,17.85,15.82,22.48,6.75,24.03
,  EEqz,11.59,22.95,17.71,14.15,20.67,3.61,21.07
,  EEmz,8.99,20.85,17.85,1.52,19.04,0.45,14.50
,  EEbhk,7.53,24.94,17.76,15.82,22.48,6.75,24.03
Maximum,,16.67,27.75,18.36,25.28,25.07,8.00,25.34
,  ,16.67,27.75,18.36,25.28,25.07,8.00,25.34
