CC,DD,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBcjx,AAmz_BBgqt,Average
CCfnw,,-6.04,-20.26,72.50,2.67,12.22
,  DDkrs,-64.37,11.50,85.17,-82.15,-12.46
,  DDmx,75.91,-91.43,98.78,-70.86,3.10
,  DDgv,-58.71,35.18,95.57,52.93,31.24
,  DDcwz,-50.98,-85.41,-9.92,61.09,-21.30
,  DDqz,67.95,28.85,92.91,52.36,60.52
CChpx,,18.86,-61.70,-2.79,4.78,-10.21
,  DDkrs,77.94,-87.09,-20.44,59.17,7.39
,  DDcmp,68.21,-98.38,-36.95,53.26,-3.47
,  DDqz,-48.15,-85.71,-8.10,-66.63,-52.15
,  DDlmr,-72.82,53.85,86.19,-78.80,-2.89
,  DDdlz,69.11,-91.19,-34.63,56.88,0.04
CCbt,,-11.21,-21.43,24.62,1.97,-1.51
,  DDmx,55.30,10.96,83.50,-82.13,16.91
,  DDbmz,-66.36,-97.57,94.63,-75.43,-36.18
,  DDcwz,-65.60,27.78,-8.41,51.88,1.41
,  DDlmr,78.51,42.17,-14.90,58.53,41.08
,  DDmpy,-57.90,-90.48,-31.74,56.98,-30.79
