DD,EE,AApqr_BBnry_CCbpv,AApqr_BBnqx_CCbt,AApqr_BBgv_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBdfv_CCbpv,AAgqt_BBhpt_CCbt,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCcqx
DDmx,,39.36,13.06,-36.94,33.74,-13.73,-81.83,-54.55,58.13
,  EEqz,85.02,6.33,-38.37,27.28,-15.94,-86.55,-55.14,54.03
,  EEbhk,93.31,20.74,-31.32,36.92,-9.23,-80.52,-51.25,59.40
,  EEmz,75.20,0.28,-46.79,27.09,-23.74,-88.54,-62.60,51.79
,  EEksy,-96.10,24.90,-31.27,43.66,-6.00,-71.69,-49.23,67.30
DDcjx,,20.43,17.71,-32.23,37.06,-9.96,-79.44,-51.93,62.83
,  EEhq,0.09,22.91,-29.67,36.22,-7.20,-75.87,-51.73,65.94
,  EEkqy,81.99,5.56,-41.96,27.06,-18.17,-88.34,-57.00,53.31
,  EEbkv,-91.77,26.35,-24.88,50.02,-2.03,-71.89,-46.29,74.34
,  EEdhv,91.40,16.03,-32.40,34.93,-12.43,-81.66,-52.70,57.71
DDcy,,42.50,13.97,-33.83,35.59,-11.90,-80.53,-52.91,61.77
,  EEbkv,78.13,3.58,-44.57,27.85,-21.94,-87.78,-60.24,51.94
,  EEcrv,87.36,7.08,-34.16,31.27,-12.91,-82.05,-53.05,56.80
,  EEmpy,99.70,20.05,-30.81,37.76,-8.34,-81.04,-50.86,64.86
,  EEmz,-95.21,25.18,-25.77,45.46,-4.41,-71.26,-47.50,73.46
Average,,34.09,14.92,-34.33,35.46,-11.86,-80.60,-53.13,60.91
,  ,34.09,14.92,-34.33,35.46,-11.86,-80.60,-53.13,60.91
