CC,DD,AAdn_BBrv,AAdn_BBpw,AAdk_BBmn,AAdk_BBtw,AAdk_BBdl
Average,,-59.09,35.66,14.69,16.72,-18.46
,  ,-59.09,35.66,14.69,16.72,-18.46
CChv,,-92.41,49.36,28.41,14.14,-19.58
,  DDlp,-90.61,-45.50,66.81,22.61,-18.60
,  DDnt,-96.52,75.80,49.23,0.53,-29.13
,  DDrz,-93.31,80.75,-72.86,6.55,-23.14
,  DDhm,-89.18,86.39,70.48,26.85,-7.44
CCst,,-25.77,21.96,0.96,19.30,-17.34
,  DDcl,37.22,82.20,-63.82,18.90,-21.07
,  DDnt,43.75,-30.09,-53.04,27.61,-5.18
,  DDcs,-89.63,84.95,68.52,25.67,-15.77
,  DDnw,-94.42,-49.20,52.18,5.02,-27.32
