DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CCprw,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCbt
DDcy,,16.64,24.84,14.72,11.72,24.64,27.02,4.89
,  EEmpy,16.64,24.84,14.72,11.72,24.64,25.02,1.25
,  EEbkv,13.87,19.31,8.30,0.05,19.13,22.77,1.99
,  EEcrv,14.04,22.03,13.96,9.98,2.22,27.02,4.89
DDcjx,,14.63,23.45,17.22,12.67,25.04,27.15,8.32
,  EEdhv,2.04,23.45,14.89,10.43,23.23,26.85,5.35
,  EEkqy,14.63,19.81,11.54,8.96,20.32,24.67,2.25
,  EEmz,4.29,17.28,17.22,12.67,25.04,27.15,8.32
DDmx,,14.30,24.77,14.56,26.32,23.46,27.62,6.77
,  EEbhk,5.41,24.77,14.56,10.98,23.46,24.54,6.77
,  EEqz,14.30,21.61,11.73,9.69,21.80,22.28,3.69
,  EEmz,0.03,14.69,9.54,26.32,17.91,27.62,0.92
