Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,800.79
AAdk,BBtw,CCst,DDnw,449.06
AAdk,BBtw,CChv,DDrz,611.84
AAdk,BBtw,CCst,DDcl,328.6
AAdk,BBtw,CChv,DDlp,777.76
AAdk,BBtw,CCst,DDnt,363.56
AAdk,BBrv,CChv,DDnt,689.72
AAdk,BBrv,CCst,DDnw,498.3
AAdk,BBrv,CChv,DDrz,81.22
AAdk,BBrv,CCst,DDcl,980.02
AAdk,BBrv,CChv,DDlp,948.46
AAdk,BBrv,CCst,DDnt,118.17
AAdk,BBtw,CChv,DDnt,695.35
AAdk,BBtw,CCst,DDnw,729.77
AAdk,BBtw,CChv,DDrz,953.73
AAdk,BBtw,CCst,DDcl,921.04
AAdk,BBtw,CChv,DDlp,797.69
AAdk,BBtw,CCst,DDnt,479.02
