Import-AAdk,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,645.08
AAdk,BBtw,CCst,DDnw,270.5
AAdk,BBtw,CCbx,DDrz,663.53
AAdk,BBtw,CChv,DDcl,546.93
AAdk,BBtw,CCst,DDlp,806.15
AAdk,BBtw,CCbx,DDcs,809.71
AAdk,BBtw,CChv,DDhm,682.57
AAdk,BBtw,CCst,DDnt,938.57
AAdk,BBtw,CCbx,DDnw,430.1
AAdk,BBrv,CChv,DDnt,304.46
AAdk,BBrv,CCst,DDnw,51.02
AAdk,BBrv,CCbx,DDrz,313.82
AAdk,BBrv,CChv,DDcl,961.63
AAdk,BBrv,CCst,DDlp,198.88
AAdk,BBrv,CCbx,DDcs,199.4
AAdk,BBrv,CChv,DDhm,594.78
AAdk,BBrv,CCst,DDnt,853.39
AAdk,BBrv,CCbx,DDnw,855.55
AAdk,BBtw,CChv,DDnt,985.42
AAdk,BBtw,CCst,DDnw,858.16
AAdk,BBtw,CCbx,DDrz,219.42
AAdk,BBtw,CChv,DDcl,988.47
AAdk,BBtw,CCst,DDlp,990.53
AAdk,BBtw,CCbx,DDcs,738.05
AAdk,BBtw,CChv,DDhm,504.3
AAdk,BBtw,CCst,DDnt,760.12
AAdk,BBtw,CCbx,DDnw,761.31
