AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,266.01
AAdk,BBtw,CCst,DDnw,913.34
AAdk,BBtw,CChv,DDrz,17.9
AAdk,BBtw,CCst,DDcl,659.8
AAdk,BBtw,CChv,DDlp,20.51
AAdk,BBtw,CCst,DDnt,153.88
AAdk,BBrv,CChv,DDnt,415.98
AAdk,BBrv,CCst,DDnw,544.12
AAdk,BBrv,CChv,DDrz,804.57
AAdk,BBrv,CCst,DDcl,806.68
AAdk,BBrv,CChv,DDlp,40.97
AAdk,BBrv,CCst,DDnt,942.24
AAdk,BBmn,CChv,DDnt,560.58
AAdk,BBmn,CCst,DDnw,947.06
AAdk,BBmn,CChv,DDrz,826.44
AAdk,BBmn,CCst,DDcl,321.4
AAdk,BBmn,CChv,DDlp,460.44
AAdk,BBmn,CCst,DDnt,463.75
AAdk,BBtw,CChv,DDnt,207.23
AAdk,BBtw,CCst,DDnw,977.1
AAdk,BBtw,CChv,DDrz,595.71
AAdk,BBtw,CCst,DDcl,852.08
AAdk,BBtw,CChv,DDlp,479.11
AAdk,BBtw,CCst,DDnt,996.52
