CC,DD,AAdk_BBtw,AAdk_BBdl,AAdk_BBmn,AAdn_BBpw,AAdn_BBrv
Minimum,,1.36,83.15,52.31,70.57,32.72
,  ,1.36,83.15,52.31,70.57,32.72
CCst,,6.54,85.64,52.34,71.33,38.43
,  DDnt,33.01,98.69,63.39,79.64,45.94
,  DDlp,27.43,94.50,58.90,76.55,44.69
,  DDnw,6.54,85.64,52.34,71.33,38.43
CChv,,1.36,83.15,52.31,70.57,32.72
,  DDcl,26.00,90.59,57.39,73.83,40.99
,  DDnt,1.36,83.15,52.31,70.57,32.72
,  DDhm,32.64,97.17,62.28,79.02,46.90
CCbx,,9.42,90.48,56.00,72.20,39.02
,  DDrz,9.42,90.48,56.00,72.20,39.02
,  DDcs,28.68,94.83,56.14,76.49,45.19
,  DDnw,33.74,99.43,69.16,82.10,52.16
