AA,BB,CC,DD,EE,FF,Value
AA,BB,CC,DD,EE,FF,Value
AAdk,BBtw,CChv,DDnt,EEdn,FFrv,96.79
AAdk,BBtw,CCtv,DDmn,EEbx,FFrz,34.28
AAdk,BBtw,CChv,DDcl,EEdn,FFdl,26.89
AAdk,BBtw,CCtv,DDhz,EEbx,FFcs,70.9
AAst,BBnw,CChv,DDnt,EEdn,FFrv,7.25
AAst,BBnw,CCtv,DDmn,EEbx,FFrz,9.6
AAst,BBnw,CChv,DDcl,EEdn,FFdl,43.18
AAst,BBnw,CCtv,DDhz,EEbx,FFcs,45.13
AAdk,BBpw,CChv,DDnt,EEdn,FFrv,14.47
AAdk,BBpw,CCtv,DDmn,EEbx,FFrz,47.29
AAdk,BBpw,CChv,DDcl,EEdn,FFdl,17.72
AAdk,BBpw,CCtv,DDhz,EEbx,FFcs,22.64
AAst,BBlp,CChv,DDnt,EEdn,FFrv,87.46
AAst,BBlp,CCtv,DDmn,EEbx,FFrz,56.88
AAst,BBlp,CChv,DDcl,EEdn,FFdl,56.9
AAst,BBlp,CCtv,DDhz,EEbx,FFcs,60.29
