DD,EE,AAhpx_BBlsx_CCkrs,AAhpx_BBlmr_CCbt,AAgqt_BBhpt_CCbt,AAgqt_BBfnw_CCkrs,AApqr_BBnry_CCkrs,AApqr_BBnqx_CCbt,Average
DDmx,,-15.81,22.01,-4.02,-31.69,42.42,7.32,3.37
,  EEqz,-21.77,-75.27,91.86,-97.20,71.45,0.80,-5.02
,  EEmz,-26.33,48.04,-41.04,19.40,69.22,-0.25,11.51
,  EEksy,-5.59,62.12,-30.02,42.40,-45.62,15.55,6.47
,  EEbhk,-9.56,53.15,-36.88,-91.36,74.61,13.17,0.52
DDcjx,,-11.42,-5.99,-32.61,-58.82,45.63,10.28,-8.82
,  EEdhv,-13.59,-73.42,-34.07,-95.66,71.87,10.12,-22.46
,  EEbkv,-1.20,66.82,-26.85,-81.80,85.71,14.97,9.61
,  EEkqy,-23.63,-78.52,-38.57,30.77,71.24,1.47,-6.21
,  EEhq,-7.25,61.17,-30.94,-88.59,-46.30,14.57,-16.22
DDcy,,-14.83,-7.88,29.97,3.48,12.29,10.25,5.55
,  EEmpy,-8.10,-69.97,97.15,-89.95,78.98,14.98,3.85
,  EEbkv,-26.66,49.15,-38.67,25.79,-58.45,1.19,-7.94
,  EEmz,-4.44,-64.12,-30.93,45.22,-43.28,17.15,-13.40
,  EEcrv,-20.14,53.41,92.34,32.86,71.92,7.67,39.68
Average,,-14.02,2.71,-2.22,-29.01,33.45,9.28,0.03
,  ,-14.02,2.71,-2.22,-29.01,33.45,9.28,0.03
