CC,DD,AAdn_BBpw,AAdn_BBrv,AAdk_BBmn,AAdk_BBtw,Average
CCst,DDnw,-38.04,47.65,-55.06,7.75,-9.43
,DDlp,96.99,52.18,77.03,12.43,59.66
,DDnt,-14.37,-62.41,85.04,-86.06,-19.45
,DDdf,-30.22,57.66,80.31,21.98,32.43
CChv,DDhm,98.25,-71.05,79.70,16.30,30.80
,DDkz,-20.33,60.64,84.62,-90.87,8.52
,DDnt,-39.40,-83.46,67.61,2.68,-13.14
,DDcl,93.93,50.36,-52.22,11.63,25.93
CCbx,DDjn,-28.60,60.71,-46.94,-98.82,-28.41
,DDnw,-5.80,67.42,-42.40,44.10,15.83
,DDcs,-31.50,-73.25,-51.58,11.71,-36.15
,DDrz,-37.55,-81.43,74.94,9.38,-8.67
