CC,DD,AApqr_BBbpv,AApqr_BBbkv,AApqr_BBnqx,AAmz_BBcjx,AAmz_BBhpt,AAmz_BBgqt,Average
CCfnw,,-50.85,75.88,10.63,-63.15,-20.91,40.46,-1.32
,  DDgv,-52.19,76.15,10.15,-80.32,-20.90,41.22,-4.31
,  DDkrs,-62.71,53.51,2.73,-5.33,-36.87,30.64,-3.01
,  DDmx,-43.07,82.62,13.68,-70.57,-13.54,44.52,2.27
,  DDqz,-59.25,69.43,6.38,-94.22,-28.22,37.73,-11.36
,  DDcwz,-37.03,97.67,20.20,-65.30,-5.02,48.18,9.78
CCbt,,-52.55,71.34,9.40,-65.19,-23.14,38.66,-3.58
,  DDlmr,-38.79,83.03,18.13,-68.08,-8.13,46.01,5.36
,  DDmx,-63.69,51.39,0.74,0.19,-35.94,25.76,-3.59
,  DDbmz,-54.06,75.83,9.24,-87.88,-22.47,40.75,-6.43
,  DDmpy,-45.36,82.20,12.65,-73.52,-16.26,43.79,0.58
,  DDcwz,-60.85,64.23,6.26,-96.65,-32.91,37.00,-13.82
CChpx,,-49.35,78.55,12.01,-80.21,-18.98,40.88,-2.85
,  DDdlz,-49.21,81.77,11.68,-79.10,-19.92,37.10,-2.95
,  DDkrs,-43.58,84.00,12.76,-69.24,-12.18,45.05,2.80
,  DDlmr,-60.84,53.53,3.26,-98.00,-34.07,32.14,-17.33
,  DDcmp,-56.92,74.56,7.23,-89.31,-27.63,39.51,-8.76
,  DDqz,-36.22,98.89,25.13,-65.38,-1.10,50.62,11.99
