CC,DD,AAcqx_BBcjx,AAcqx_BBgv,AApqr_BBnqx,AApqr_BBqz,AAfnw_BBkrs,AAfnw_BBbgp,EE,FF
CCcy,,43.64,87.77,4.22,53.48,24.36,66.01,,
,  DDmx,52.69,97.22,16.12,66.18,37.45,80.10,EEhpx,FFcmp
,  DDbmz,46.90,92.19,4.22,59.94,29.67,79.71,EEmz,FFgqt
,  DDbkv,43.64,87.77,4.83,53.48,24.36,66.01,EEhpx,FFlmr
CCbt,,42.14,85.70,0.78,54.60,19.27,68.77,,
,  DDmx,42.14,85.70,0.78,54.60,19.27,68.77,EEmz,FFgqt
,  DDhpt,46.40,90.31,5.89,59.48,29.09,76.47,EEhpx,FFcmp
,  DDmpy,50.04,96.69,16.16,62.63,33.26,81.50,EEmz,FFbpv
CCkqy,,45.27,89.08,5.80,57.71,25.28,73.17,,
,  DDbsz,48.19,95.64,8.90,61.35,30.95,80.47,EEhpx,FFlmr
,  DDbkv,52.44,99.20,16.87,66.82,39.37,84.82,EEmz,FFgqt
,  DDcwz,45.27,89.08,5.80,57.71,25.28,73.17,EEmz,FFbpv
Minimum,,42.14,85.70,0.78,53.48,19.27,66.01,,
,  ,42.14,85.70,0.78,53.48,19.27,66.01,,
