AApqr-Export,BB,CC,DD,EE,Value
AA,BB,CC,DD,EE,Value
AApqr,BBnqx,CCbt,DDmx,EEmz,518.83
AApqr,BBnqx,CCbt,DDcy,EEbkv,534.41
AApqr,BBnqx,CCbt,DDcjx,EEkqy,535.84
AApqr,BBnqx,CCbt,DDmx,EEqz,665.66
AApqr,BBnqx,CCbt,DDcy,EEcrv,796.09
AApqr,BBnqx,CCbt,DDcjx,EEdhv,160.05
AApqr,BBnqx,CCbt,DDmx,EEbhk,931.42
AApqr,BBnqx,CCbt,DDcy,EEmpy,419.98
AApqr,BBnqx,CCbt,DDcjx,EEmz,163.92
AApqr,BBfnw,CCbt,DDmx,EEmz,42.29
AApqr,BBfnw,CCbt,DDcy,EEbkv,557.11
AApqr,BBfnw,CCbt,DDcjx,EEkqy,557.24
AApqr,BBfnw,CCbt,DDmx,EEqz,560.81
AApqr,BBfnw,CCbt,DDcy,EEcrv,435.59
AApqr,BBfnw,CCbt,DDcjx,EEdhv,691.78
AApqr,BBfnw,CCbt,DDmx,EEbhk,309.1
AApqr,BBfnw,CCbt,DDcy,EEmpy,184.31
AApqr,BBfnw,CCbt,DDcjx,EEmz,697.18
AApqr,BBlmr,CCbt,DDmx,EEmz,697.78
AApqr,BBlmr,CCbt,DDcy,EEbkv,702.15
AApqr,BBlmr,CCbt,DDcjx,EEkqy,705.47
AApqr,BBlmr,CCbt,DDmx,EEqz,197.83
AApqr,BBlmr,CCbt,DDcy,EEcrv,326.67
AApqr,BBlmr,CCbt,DDcjx,EEdhv,454.54
AApqr,BBlmr,CCbt,DDmx,EEbhk,840.8
AApqr,BBlmr,CCbt,DDcy,EEmpy,840.46
AApqr,BBlmr,CCbt,DDcjx,EEmz,588.54
AApqr,BBnqx,CCbt,DDmx,EEmz,205.41
AApqr,BBnqx,CCbt,DDcy,EEbkv,77.65
AApqr,BBnqx,CCbt,DDcjx,EEkqy,209.0
AApqr,BBnqx,CCbt,DDmx,EEqz,594.95
AApqr,BBnqx,CCbt,DDcy,EEcrv,855.27
AApqr,BBnqx,CCbt,DDcjx,EEdhv,88.82
AApqr,BBnqx,CCbt,DDmx,EEbhk,984.75
AApqr,BBnqx,CCbt,DDcy,EEmpy,96.23
AApqr,BBnqx,CCbt,DDcjx,EEmz,483.44
AApqr,BBfnw,CCbt,DDmx,EEmz,612.2
AApqr,BBfnw,CCbt,DDcy,EEbkv,614.08
AApqr,BBfnw,CCbt,DDcjx,EEkqy,871.81
AApqr,BBfnw,CCbt,DDmx,EEqz,364.91
AApqr,BBfnw,CCbt,DDcy,EEcrv,877.46
AApqr,BBfnw,CCbt,DDcjx,EEdhv,878.41
AApqr,BBfnw,CCbt,DDmx,EEbhk,889.44
AApqr,BBfnw,CCbt,DDcy,EEmpy,634.89
AApqr,BBfnw,CCbt,DDcjx,EEmz,636.92
