DD,EE,AAhpx_BBlmr_CCbmz,AAhpx_BBlmr_CCcqx,AAgqt_BBfnw_CCprw,AAgqt_BBfnw_CCkrs,AAgqt_BBfnw_CClt,AApqr_BBnqx_CCbpv,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,Maximum
DDcjx,,13.93,26.03,11.04,15.72,24.71,27.60,17.73,8.76,27.60
,  EEkqy,12.78,20.79,8.98,11.64,19.70,27.60,15.51,2.38,27.60
,  EEmz,2.79,26.03,11.04,15.72,24.71,27.54,17.73,8.76,27.54
,  EEdhv,13.93,20.36,9.16,13.41,21.79,24.57,3.05,0.77,24.57
DDcy,,14.61,25.13,9.67,16.49,20.71,27.02,16.94,6.45,27.02
,  EEcrv,13.96,19.61,9.67,13.52,20.71,6.18,16.94,0.47,20.71
,  EEmpy,14.61,25.13,0.45,16.49,5.43,0.25,1.14,6.45,25.13
,  EEbkv,11.33,19.98,8.50,10.41,6.56,27.02,2.20,1.67,27.02
DDmx,,13.04,24.23,10.72,15.89,21.22,27.93,15.07,5.07,27.93
,  EEqz,12.89,21.98,8.16,10.30,19.80,25.57,3.45,0.92,25.57
,  EEmz,0.12,18.51,7.25,8.28,18.91,27.21,15.07,0.83,27.21
,  EEbhk,13.04,24.23,10.72,15.89,21.22,27.93,4.30,5.07,27.93
