AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,523.14
AAdk,BBtw,CCst,DDnw,270.03
AAdk,BBtw,CChv,DDrz,916.98
AAdk,BBtw,CCst,DDcl,278.42
AAdk,BBtw,CChv,DDlp,791.69
AAdk,BBtw,CCst,DDnt,37.48
AAdk,BBrv,CChv,DDnt,549.68
AAdk,BBrv,CCst,DDnw,43.76
AAdk,BBrv,CChv,DDrz,817.85
AAdk,BBrv,CCst,DDcl,52.75
AAdk,BBrv,CChv,DDlp,442.29
AAdk,BBrv,CCst,DDnt,316.98
AAdk,BBmn,CChv,DDnt,960.64
AAdk,BBmn,CCst,DDnw,205.29
AAdk,BBmn,CChv,DDrz,343.48
AAdk,BBmn,CCst,DDcl,88.07
AAdk,BBmn,CChv,DDlp,857.48
AAdk,BBmn,CCst,DDnt,859.99
AAdk,BBtw,CChv,DDnt,351.69
AAdk,BBtw,CCst,DDnw,361.68
AAdk,BBtw,CChv,DDrz,625.18
AAdk,BBtw,CCst,DDcl,625.64
AAdk,BBtw,CChv,DDlp,250.27
AAdk,BBtw,CCst,DDnt,379.8
