CC,DD,AApqr_BBnqx,AApqr_BBbgp,AApqr_BBcjx,AAcy_BBbkv,AAcy_BBhpt,AAmz_BBbpv,AAmz_BBgqt
Average,,1.88,-15.54,-22.17,-32.54,47.01,7.52,-57.07
,  ,1.88,-15.54,-22.17,-32.54,47.01,7.52,-57.07
CCfnw,,-11.30,-13.81,-37.18,-15.46,63.92,8.28,-56.47
,  DDkrs,8.33,-24.42,-72.66,-84.66,-37.06,68.42,-93.51
,  DDmx,-96.86,-2.49,-63.94,-75.61,97.13,-49.33,-84.92
,  DDcmp,27.19,-9.39,59.58,50.99,98.80,72.23,-86.72
,  DDcwz,16.16,-18.95,-71.69,47.42,96.83,-58.22,39.28
CCbt,,15.06,-17.27,-7.17,-49.62,30.09,6.76,-57.67
,  DDmx,1.47,-27.18,53.12,45.43,86.60,-62.83,33.42
,  DDbmz,28.55,-7.61,-69.89,-77.77,-29.15,79.52,-86.25
,  DDlmr,11.02,-22.21,57.61,-86.54,-33.63,-60.56,-90.40
,  DDqz,19.20,-12.09,-69.52,-79.59,96.53,70.91,-87.44
