AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,514.41
AAdk,BBtw,CCst,DDnw,522.72
AAdk,BBtw,CChv,DDrz,909.24
AAdk,BBtw,CCst,DDcl,653.89
AAdk,BBtw,CChv,DDlp,656.12
AAdk,BBtw,CCst,DDcs,914.91
AAdk,BBrv,CChv,DDnt,35.49
AAdk,BBrv,CCst,DDnw,171.0
AAdk,BBrv,CChv,DDrz,173.26
AAdk,BBrv,CCst,DDcl,46.47
AAdk,BBrv,CChv,DDlp,302.28
AAdk,BBrv,CCst,DDcs,816.88
AAdk,BBmn,CChv,DDnt,953.75
AAdk,BBmn,CCst,DDnw,325.37
AAdk,BBmn,CChv,DDrz,973.52
AAdk,BBmn,CCst,DDcl,719.25
AAdk,BBmn,CChv,DDlp,595.54
AAdk,BBmn,CCst,DDcs,987.44
AAdk,BBtw,CChv,DDnt,476.97
AAdk,BBtw,CCst,DDnw,97.91
AAdk,BBtw,CChv,DDrz,101.02
AAdk,BBtw,CCst,DDcl,359.54
AAdk,BBtw,CChv,DDlp,889.41
AAdk,BBtw,CCst,DDcs,381.94
