CC,DD,AAdk_BBmn,AAdk_BBdl,AAdk_BBtw,AAdn_BBrv,AAdn_BBpw,Minimum
CCst,,49.05,81.68,2.53,22.46,64.76,2.53
,  DDlp,55.46,91.43,17.55,35.35,69.54,17.55
,  DDnw,49.05,81.68,2.53,22.46,64.76,2.53
CCbx,,50.74,84.20,2.33,26.92,65.49,2.33
,  DDcs,56.79,96.48,17.81,42.20,77.09,17.81
,  DDrz,50.74,84.20,2.33,26.92,65.49,2.33
CChv,,43.62,77.98,1.54,21.93,58.65,1.54
,  DDcl,54.97,84.72,7.42,33.46,68.54,7.42
,  DDnt,43.62,77.98,1.54,21.93,58.65,1.54
Minimum,,43.62,77.98,1.54,21.93,58.65,1.54
,  ,43.62,77.98,1.54,21.93,58.65,1.54
