DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CClt,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCbt,AApqr_BBnqx_CCgjm,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw
DDcjx,,26.01,24.56,24.83,15.42,7.26,21.62,24.14,9.98
,  EEbkv,26.01,24.56,24.83,15.42,7.26,21.62,24.14,9.98
,  EEdhv,24.19,15.27,23.15,9.06,5.89,0.08,23.59,9.96
,  EEkqy,24.35,12.28,3.06,11.77,0.14,5.98,19.57,8.92
DDcy,,26.39,14.82,23.89,16.69,7.72,24.15,23.23,9.87
,  EEcrv,22.25,14.82,23.08,13.80,4.75,19.59,21.97,9.87
,  EEbkv,23.95,9.70,22.00,10.60,1.27,18.34,19.87,8.54
,  EEmz,26.39,4.70,23.89,16.69,7.72,24.15,23.23,3.68
DDmx,,27.77,16.76,23.87,15.35,4.33,6.37,24.61,8.39
,  EEqz,21.98,4.98,22.80,12.62,0.84,1.93,21.64,8.39
,  EEmz,27.77,10.85,21.60,9.89,0.59,4.18,9.37,7.27
,  EEbhk,24.03,16.76,23.87,15.35,4.33,6.37,24.61,0.04
