AAdk-Export,BB,CC,DD,Value
AA,BB,CC,DD,Value
AAdk,BBtw,CChv,DDnt,859.64
AAdk,BBtw,CCst,DDnw,414.6
AAdk,BBtw,CChv,DDrz,643.31
AAdk,BBtw,CCst,DDcl,711.15
AAdk,BBtw,CChv,DDlp,616.68
AAdk,BBtw,CCst,DDnt,648.0
AAdk,BBrv,CChv,DDnt,682.25
AAdk,BBrv,CCst,DDnw,590.03
AAdk,BBrv,CChv,DDrz,687.86
AAdk,BBrv,CCst,DDcl,624.55
AAdk,BBrv,CChv,DDlp,176.36
AAdk,BBrv,CCst,DDnt,208.93
AAdk,BBtw,CChv,DDnt,403.2
AAdk,BBtw,CCst,DDnw,20.36
AAdk,BBtw,CChv,DDrz,886.57
AAdk,BBtw,CCst,DDcl,603.4
AAdk,BBtw,CChv,DDlp,93.08
AAdk,BBtw,CCst,DDnt,766.09
