DD,EE,AAgqt_BBnqx_CCbpv,AAgqt_BBlmr_CCbmz,AAgqt_BBfnw_CCkrs,AApqr_BBnqx_CCgjm,AApqr_BBnqx_CCbt,AApqr_BBlmr_CCcqx,AApqr_BBfnw_CCprw
DDcy,,5.33,19.78,13.76,7.79,7.24,25.60,12.66
,  EEcrv,5.32,18.28,5.63,3.15,4.89,22.07,9.99
,  EEbkv,4.68,15.41,10.49,7.79,1.69,15.46,8.10
,  EEmz,5.33,19.78,13.76,3.33,7.24,25.60,12.66
DDcjx,,27.67,18.39,17.80,23.84,6.93,23.68,9.37
,  EEdhv,25.17,18.39,11.83,3.89,5.49,22.14,9.37
,  EEbkv,27.67,7.96,17.80,23.84,6.93,23.68,1.29
,  EEkqy,21.37,5.22,11.36,20.61,1.22,20.60,8.18
DDmx,,27.76,18.64,15.19,23.91,6.36,23.14,27.45
,  EEbhk,27.71,2.58,15.19,23.91,6.36,23.14,10.11
,  EEqz,26.25,18.64,6.45,22.26,3.07,21.73,8.58
,  EEmz,27.76,15.59,9.55,20.27,0.49,18.71,27.45
Maximum,,27.76,19.78,17.80,23.91,7.24,25.60,27.45
,  ,27.76,19.78,17.80,23.91,7.24,25.60,27.45
