DD,EE,AApqr_BBlmr_CCcqx,AApqr_BBnqx_CCbt,AAgqt_BBnry_CCbt,AAgqt_BBfnw_CCkrs,Average
DDcy,EEjvz,78.60,34.19,-17.47,-70.52,6.20
,EEbkv,53.54,4.81,86.13,-79.14,16.33
,EEcrv,67.20,10.75,-35.73,52.79,23.75
,EEmpy,69.99,28.36,-26.46,55.13,31.75
DDmx,EEksy,-51.64,30.64,-22.13,-74.29,-29.36
,EEqz,-62.65,3.33,92.09,51.37,21.04
,EEmz,59.79,3.19,82.93,47.08,48.25
,EEbhk,-62.42,16.98,-27.64,53.30,-4.95
DDcjx,EEmz,-50.22,-84.84,-6.68,58.96,-20.70
,EEdhv,68.47,13.86,96.64,52.21,57.80
,EEkqy,60.41,5.24,-40.72,-78.12,-13.30
,EEhq,-54.41,29.65,-27.53,-72.63,-31.23
Average,,14.72,8.01,12.79,-0.32,8.80
